ONS ID,Leave
E14001052,53.7%
E14000611,53.7%
W07000056,53.7%
E14000990,53.6%
E14001026,53.6%
E14000545,53.6%
S14000007,53.6%
E14000911,53.6%
E14000665,53.5%
E14000757,53.5%
E14000841,53.4%
E14000931,53.3%
E14000942,53.3%
E14000766,53.3%
E14000759,53.3%
E14000781,53.3%
E14000586,53.2%
W07000067,53.2%
E14000928,53.2%
E14000614,53.2%
N06000009,53.1%
E14000822,53.1%
W07000059,53.0%
E14000988,52.9%
E14000926,52.9%
E14000813,52.9%
E14000997,52.9%
E14001027,52.8%
E14001023,52.8%
N06000017,52.6%
E14000646,52.6%
W07000078,52.6%
E14001035,52.5%
E14000607,52.5%
E14000814,52.5%
E14000728,52.4%
E14000775,52.3%
E14000925,52.2%
E14000738,52.2%
W07000058,52.2%
E14000994,52.2%
E14000794,52.2%
E14000686,52.2%
E14000776,52.0%
E14000552,51.9%
N06000001,51.9%
E14000811,51.9%
W07000068,51.9%
E14000983,51.9%
E14000756,51.9%
E14000690,51.8%
E14000538,51.8%
E14000884,51.8%
E14000559,51.7%
E14000985,51.7%
E14000947,51.7%
E14000846,51.6%
E14000635,51.6%
E14000644,51.5%
E14000890,51.5%
E14000563,51.5%
E14000845,51.4%
S14000009,51.3%
E14000984,51.3%
E14000910,51.2%
E14000664,51.2%
E14000566,51.2%
E14001021,51.2%
E14001018,51.1%
E14001031,51.0%
E14000977,51.0%
W07000041,50.9%
E14000623,50.9%
E14000941,50.9%
E14000745,50.8%
E14000784,50.8%
E14000633,50.7%
E14000628,50.7%
E14001024,50.6%
E14000748,50.5%
E14000678,50.4%
E14000651,50.4%
E14000539,50.3%
E14000932,50.3%
E14000654,50.3%
E14000860,50.3%
W07000073,50.3%
E14000797,50.1%
E14000645,50.1%
E14000571,50.0%
E14001010,49.9%
E14000912,49.9%
E14000634,49.9%
S14000046,49.9%
E14000907,49.8%
E14000604,49.8%
E14000796,49.8%
E14000534,49.7%
E14000821,49.7%
E14001059,49.6%
N06000002,49.6%
E14000906,49.5%
E14000753,49.5%
E14000956,49.4%
W07000046,49.3%
E14000680,49.3%
E14000744,49.2%
E14000691,49.2%
E14000550,49.0%
E14000979,48.9%
E14000608,48.9%
E14000702,48.8%
E14000886,48.6%
E14001056,48.5%
S14000004,48.2%
W07000054,48.1%
E14000831,48.0%
E14000893,48.0%
N06000006,48.0%
E14001032,48.0%
E14000708,48.0%
E14000991,47.9%
E14000830,47.8%
E14000694,47.8%
N06000013,47.6%
E14001006,47.6%
S14000036,47.6%
E14000850,47.6%
E14000731,47.5%
W07000061,47.4%
E14000824,47.3%
E14000560,47.3%
E14000802,47.2%
E14000730,47.2%
E14000786,47.1%
E14000601,47.1%
E14001037,47.1%
E14000567,46.9%
E14000599,46.8%
E14000969,46.8%
E14000589,46.7%
E14001042,46.7%
E14000551,46.6%
E14001043,46.5%
W07000075,46.5%
E14000867,46.5%
E14001015,46.5%
E14000817,46.4%
E14001046,46.3%
E14000958,46.3%
E14000679,46.3%
E14000675,46.3%
E14000767,46.2%
E14000951,46.2%
E14000844,46.2%
E14000901,46.1%
E14000777,46.0%
E14000980,45.9%
E14001003,45.9%
E14000656,45.8%
E14000987,45.6%
E14000687,45.5%
W07000064,45.4%
E14000746,45.3%
E14000619,45.3%
E14000937,45.3%
S14000013,45.1%
E14000732,45.1%
E14000803,45.0%
E14000631,45.0%
E14000698,44.8%
S14000027,44.8%
E14001044,44.7%
E14000823,44.7%
E14001062,44.7%
E14001004,44.6%
S14000014,44.6%
S14000037,44.3%
E14001047,44.3%
S14000006,44.1%
E14000916,44.1%
S14000030,43.8%
W07000079,43.8%
E14000597,43.6%
S14000055,43.5%
W07000047,43.4%
E14000641,43.3%
E14000760,43.3%
E14000593,43.3%
S14000041,43.3%
S14000044,43.3%
S14000008,43.3%
S14000001,43.1%
E14000742,43.1%
E14000630,42.9%
E14000591,42.9%
E14000865,42.9%
W07000080,42.8%
E14001048,42.7%
E14000627,42.7%
E14000592,42.6%
E14000783,42.4%
S14000048,42.4%
E14000640,42.3%
S14000028,42.1%
S14000043,42.0%
E14000676,41.8%
E14001019,41.6%
S14000010,41.6%
E14000600,41.6%
E14000741,41.6%
E14000697,41.6%
E14000908,41.5%
N06000007,41.4%
E14000719,41.2%
N06000014,41.2%
E14000655,41.2%
E14000636,41.1%
E14000832,41.1%
S14000035,40.9%
E14000770,40.8%
E14000953,40.7%
S14000016,40.7%
S14000032,40.7%
E14000864,40.5%
S14000051,40.3%
S14000039,40.1%
S14000054,39.9%
S14000003,39.8%
E14000749,39.8%
E14001041,39.6%
N06000010,39.6%
S14000050,39.5%
S14000040,39.5%
S14000005,39.4%
S14000017,39.4%
S14000058,39.2%
W07000051,39.1%
E14001061,38.8%
S14000011,38.8%
E14000532,38.6%
E14000934,38.5%
S14000015,38.4%
E14000889,38.3%
E14000808,38.2%
E14000874,38.0%
S14000059,38.0%
S14000045,37.9%
E14000692,37.9%
E14000960,37.8%
S14000047,37.7%
S14000056,37.6%
E14000779,37.4%
N06000011,37.1%
S14000012,37.0%
S14000019,36.9%
E14000807,36.4%
S14000049,36.3%
S14000038,36.2%
S14000042,36.0%
W07000057,35.8%
E14000718,35.7%
E14000564,35.6%
S14000052,35.5%
E14000780,35.4%
S14000020,35.4%
E14000787,35.4%
E14000795,35.3%
S14000053,34.8%
E14000790,34.8%
E14000788,34.6%
E14000882,34.2%
E14000922,34.0%
E14001036,33.7%
E14000562,33.6%
E14001013,33.5%
E14001005,33.3%
N06000018,33.2%
E14000755,32.9%
N06000015,32.8%
E14000873,32.5%
S14000057,32.3%
S14000002,32.1%
W07000050,32.0%
E14000919,31.9%
E14000547,31.7%
S14000033,31.5%
E14000615,31.5%
E14000726,31.3%
E14000768,31.2%
E14000703,31.1%
E14000555,30.9%
N06000003,30.5%
E14001040,29.4%
E14000674,29.2%
E14000629,29.1%
S14000026,28.8%
S14000029,28.8%
E14000896,28.7%
E14000764,28.3%
