,index,county_fips,county_name,state,DEMOCRAT_2000,DEMOCRAT_2004,DEMOCRAT_2008,DEMOCRAT_2012,DEMOCRAT_2016,DEMOCRAT_2020,GREEN_2000,GREEN_2020,LIBERTARIAN_2020,OTHER_2000,OTHER_2004,OTHER_2008,OTHER_2012,OTHER_2016,OTHER_2020,REPUBLICAN_2000,REPUBLICAN_2004,REPUBLICAN_2008,REPUBLICAN_2012,REPUBLICAN_2016,REPUBLICAN_2020
0,0,1001.0,AUTAUGA,ALABAMA,28.71920037192004,23.69403914147702,25.773021445793326,26.58783219120842,23.76967124494454,27.018365142239826,0.9298000929800093,,,0.6566713156671315,0.6324386235745232,0.6133412292204221,0.793916095604212,3.463740840107316,1.544832553114872,69.69432821943282,75.67352223494845,73.61363732498624,72.61825171318736,72.76658791494815,71.4368023046453
1,1,1003.0,BALDWIN,ALABAMA,24.782223796033996,22.502885170225042,23.811921928930268,21.58944432726335,19.3856010082445,22.409029987509005,1.8289660056657224,,,1.023371104815864,1.081938834391229,0.9285986267549409,1.052286203098268,4.068686656514204,1.4195971881581706,72.36543909348441,76.41517599538373,75.25947944431479,77.35826946963837,76.5457123352413,76.17137282433283
2,2,1005.0,BARBOUR,ALABAMA,49.90860990860991,44.83622529460889,48.9853826311264,51.36849422191329,46.52784411118541,45.78817265639856,0.4425204425204425,,,0.6253006253006254,0.4268349262317899,0.5760963026655203,0.40837605352332956,1.3754895405482854,0.7606008746910059,49.023569023569024,54.73693977915932,50.43852106620809,48.223129724563385,52.09666634826631,53.45122646891044
3,3,1007.0,BIBB,ALABAMA,38.1636389240952,27.48684210526316,26.59648310967145,26.152019002375297,21.249574781721282,20.698280354351226,0.7322912265878045,,,0.9294465568229826,0.5131578947368421,0.960203609440074,1.0213776722090262,2.347204898514571,0.8754559666492965,60.17462329249401,72.0,72.44331328088847,72.82660332541568,76.40322031976415,78.42626367899948
4,4,1009.0,BLOUNT,ALABAMA,27.691537305958942,18.312872023809522,14.513536901965631,12.371907023244189,8.425824605283728,9.569377990430622,0.8568408167807265,,,0.9736827463417348,0.8370535714285714,1.4670128157580253,1.1622094476380904,2.2393309363764264,0.8590691605045673,70.4779391309186,80.85007440476191,84.01945028227634,86.46588352911772,89.33484445833984,89.5715528490648
5,5,1011.0,BULLOCK,ALABAMA,69.22920065252855,68.05172779308883,74.07202216066482,76.30590003757986,74.94692144373673,74.70192933015392,0.48939641109298526,,,1.0603588907014683,0.2755988976044096,0.24007386888273313,0.18789928598271327,0.8492569002123143,0.4552352048558422,29.221044045676997,31.672673309306766,25.687903970452446,23.50620067643743,24.203821656050955,24.842835464990245
6,6,1013.0,BUTLER,ALABAMA,46.21299500192234,40.5537072243346,43.13523534864559,46.06149957877001,42.67063673843335,41.78962900505902,0.461361014994233,,,0.4357298474945534,0.28517110266159695,0.3707899886703059,0.36857624262847516,1.2024736601007788,0.6850758853288365,52.88991413558888,59.161121673003805,56.49397466268411,53.56992417860151,56.12688960146587,57.52529510961214
7,7,1015.0,CALHOUN,ALABAMA,40.55873962322342,33.33333333333333,33.1708703951911,33.532222150161054,27.665886678923616,29.845242531824333,1.236217841630471,,,0.8764039168315814,0.7779177440385423,1.1372405669956542,1.0117387638627666,3.670817315727896,1.306317792205245,57.32863861831453,65.88874892262812,65.69188903781324,65.45603908597619,68.66329600534849,68.84843967597043
8,8,1017.0,CHAMBERS,ALABAMA,47.45648132499578,41.02977286678944,45.46001604707141,47.02621312709602,41.611510791366904,41.644857367181366,0.8027716748352206,,,0.7267196214297786,0.48342541436464087,0.6017651778550415,0.7802340702210664,1.9640287769784173,1.0861031143679665,51.01402737873922,58.48680171884592,53.93821877507355,52.19355280268291,56.42446043165468,57.26903951845067
9,9,1019.0,CHEROKEE,ALABAMA,44.70152115556692,33.594872361586916,23.66341713699333,21.80182022701708,14.413491102208143,13.202178684659785,0.9842771315352167,,,1.2143678895564363,0.9503812575975246,1.4468958440225757,1.4418652213927805,2.1708748718904314,0.7641655149987806,53.09983382334143,65.45474638081556,74.88968701898409,76.75631455159014,83.41563402590143,86.03365580034144
10,10,1021.0,CHILTON,ALABAMA,31.84468592631858,22.632241059126578,20.657857745290976,19.453670828083837,15.847351516141325,15.91403417918177,0.6095944871455076,,,0.8481314603763582,0.5151860061103457,0.8490300815293786,0.7616538769900355,2.0523708421797595,0.7871569135163128,66.69758812615956,76.85257293476307,78.49311217317964,79.78467529492612,82.10027764167891,83.29880890730192
11,11,1023.0,CHOCTAW,ALABAMA,50.27122321670735,45.70361145703611,46.060298961236384,47.515060240963855,42.63576522216127,41.89442658092176,0.44751830756712774,,,0.46107946840249525,0.37359900373599003,0.44337471497339753,0.37650602409638556,1.0559517279210093,0.5493033226152197,48.82017900732303,53.9227895392279,53.49632632379022,52.108433734939766,56.30828304991772,57.556270096463024
12,12,1025.0,CLARKE,ALABAMA,43.51748511904761,40.6090925048271,44.019352437662825,45.72955021298101,44.11787276494513,43.81423677198325,0.30691964285714285,,,0.4836309523809524,0.32473231525364227,0.40937848902121327,0.33932568045628475,1.0897091550917044,0.42634183479253907,55.69196428571429,59.066175179919256,55.57126907331597,53.9311241065627,54.79241807996317,55.75942139322421
13,13,1027.0,CLAY,ALABAMA,34.761176270610235,28.786496350364963,25.810236105000733,26.673671570099067,18.67451690821256,18.282828282828284,0.8839027706952236,,,1.1388747237803842,0.8972019464720195,1.0998680158380993,1.020714500150105,2.143719806763285,0.8946608946608947,63.21604623491416,70.31630170316302,73.08989587916118,72.30561392975082,79.18176328502415,80.82251082251082
14,14,1029.0,CLEBURNE,ALABAMA,32.67871170463472,23.99103139013453,17.991373998767717,15.400475812846947,10.37463976945245,9.339975093399751,0.7659073055773763,,,1.0997643362136684,0.6381510865815798,1.6635859519408502,0.9833465503568596,2.199302290307902,0.9409160094091601,65.45561665357424,75.37081752328389,80.34504004929144,83.6161776367962,87.42605794023964,89.71910889719109
15,15,1031.0,COFFEE,ALABAMA,33.821433199429826,25.431425976385103,25.233505564387915,24.911482043500254,20.325516444358836,22.78787878787879,1.0042762731631463,,,0.7839834132434884,0.6641689373297003,0.645866454689984,0.9054122407688417,3.231087783502672,1.3468013468013467,64.39030711416353,73.9044050862852,74.1206279809221,74.1831057157309,76.44339577213849,75.86531986531988
16,16,1033.0,COLBERT,ALABAMA,48.964332156789894,44.278253603509505,39.05727971662037,39.19606585418003,29.34778246036524,29.91823854263788,0.9660040869403678,,,1.2214378599294073,0.6225193231669104,1.6141367789719439,1.2101774641864442,3.439694962873771,1.2192498027684142,48.84822589634033,55.09922707332359,59.32858350440768,59.59375668163352,67.21252257676099,68.8625116545937
17,17,1035.0,CONECUH,ALABAMA,50.13511079084849,45.158611526324535,49.387872677516924,50.62660210766163,46.77296886864085,46.04875019406924,0.6305170239596469,,,0.6125022518465142,0.5148646404251785,0.6337318162177733,0.3987467957846767,1.29081245254366,0.5123428039124359,48.62186993334534,54.32652383325029,49.97839550626531,48.97465109655369,51.93621867881549,53.43890700201832
18,18,1037.0,COOSA,ALABAMA,46.069629954017955,41.09178164367127,40.8592486068668,41.582843044220915,33.92993145468393,32.779704325606865,0.7444712064812787,,,1.0291219619005911,0.8198360327934412,0.7549883156570196,0.5503890681343709,1.6945925361766947,0.9490782989596642,52.15677687760017,58.08838232353529,58.385763077476184,57.86676788764471,64.37547600913938,66.27121737543348
19,19,1039.0,COVINGTON,ALABAMA,32.61588187761698,23.40192794147809,20.523215303730918,20.475912598067822,14.974905897114176,15.611015490533564,0.9035480790420922,,,0.6537868214207008,0.581117112189786,0.6524355482358902,0.726188160539454,1.7942283563362609,0.7056798623063684,65.82678322192022,76.01695494633212,78.82434914803319,78.79789924139273,83.23086574654957,83.68330464716007
20,20,1041.0,CRENSHAW,ALABAMA,40.33368091762252,30.872727272727275,30.805913209346684,31.941414770956683,26.55177916068294,25.691400936980507,0.8342022940563086,,,0.583941605839416,0.45454545454545453,0.5404546177078365,0.5765035836709256,1.4360938247965533,0.8009672056823334,58.24817518248175,68.67272727272727,68.65363217294548,67.48208164537239,72.0121270145205,73.50763185733716
21,21,1043.0,CULLMAN,ALABAMA,33.04995766299746,22.860958767866784,16.609545390171363,14.661752328989754,10.028252316954031,10.699863802537573,0.9551227773073666,,,1.1109229466553767,0.9320564917166321,1.5436906953689278,1.1782801752909422,2.8674781506614213,1.1779885785285895,64.8839966130398,76.20698474041659,81.84676391445971,84.1599674957193,87.10426953238455,88.12214761893384
22,22,1045.0,DALE,ALABAMA,31.038846007845123,24.59546925566343,27.277432712215322,28.485207738319772,23.537255320283748,26.193130003039823,1.189421738580286,,,0.7528786536758193,0.6911304920190884,0.8488612836438922,0.8783747372958992,2.8161501946770495,1.3425879015097781,67.01885359989878,74.71340025231748,71.87370600414079,70.63641752438433,73.6465944850392,72.4642820954504
23,23,1047.0,DALLAS,ALABAMA,59.39666377816292,60.167985785818125,67.07270285823903,69.73703049682624,68.3056619838229,68.46171070309002,0.3412045060658579,,,0.4007798960138648,0.3392020675173639,0.3261078074045655,0.2529470720183267,0.8886760323541933,0.6157635467980296,39.86135181975737,39.49281214666451,32.60118933435642,30.01002243115544,30.8056619838229,30.922525750111955
24,24,1049.0,DEKALB,ALABAMA,34.78432339166872,29.384711000621504,23.560274828232355,21.954490214977163,14.02462634554325,14.583049461779535,0.862706433325117,,,1.119053487798866,0.5759270768593329,1.66562565063502,1.2278422662699577,3.0937814605436382,1.0491892628423491,63.23391668720729,70.03936192251916,74.77409952113263,76.81766751875288,82.88159219391311,84.36776127537811
25,25,1051.0,ELMORE,ALABAMA,27.944883212905392,22.56276150627615,24.190587206760892,25.233197125546003,22.659688674181428,25.26687789422374,0.8906066207360107,,,0.6847588640564611,0.5334728033472803,0.6906600611977269,0.7834296181485135,3.174986580783682,1.216183280526444,70.47975130230213,76.90376569037657,75.11875273204139,73.98337325630548,74.1653247450349,73.51693882524982
26,26,1053.0,ESCAMBIA,ALABAMA,38.79073756432247,30.770471964501816,35.35504974785334,36.91573071491022,31.020545638262043,30.91137649277184,0.6689536878216124,,,0.7204116638078902,0.5486083098023397,0.7564399618372633,0.6254623713766898,2.054563826204109,0.7730986800754243,59.81989708404802,68.68091972569584,63.888510290309384,62.4588069137131,66.92489053553385,68.31552482715273
27,27,1055.0,ETOWAH,ALABAMA,44.304666056724614,35.91377694470478,30.16965822473568,30.10345638372913,23.64369169459288,24.23524974857526,1.1055199756023177,,,0.9987801158889906,0.8270852858481723,1.4417596173189977,1.4037150246884553,3.0998097998369714,1.3262655045256453,53.591033851784076,63.25913776944705,68.38858215794532,68.49282859158241,73.25649850557015,74.43848474689909
28,28,1057.0,FAYETTE,ALABAMA,39.24180327868852,30.092476880779806,25.059695865275856,22.866851245909892,16.5110922536065,15.91375770020534,0.7684426229508197,,,1.3063524590163935,0.7498125468632842,1.0054040467512881,0.9438711301283665,2.1214692690023034,0.8099475245265799,58.683401639344254,69.1577105723569,73.93490008797285,76.18927762396174,81.36743847739119,83.27629477526808
29,29,1059.0,FRANKLIN,ALABAMA,43.16851301450059,36.791914581465484,29.667322329598907,29.20158393958928,18.24750830564784,16.584512641119414,0.6484733855714672,,,1.0717824011528416,0.5297905289754666,1.5051740357478833,1.1142830831568284,3.1312292358803986,0.9222451900143107,55.1112311987751,62.67829488955905,68.82750363465321,69.68413297725388,78.62126245847176,82.49324216886627
30,30,1061.0,GENEVA,ALABAMA,28.967465216026785,20.08555133079848,18.306596894569786,18.012367491166078,12.969892838918184,12.714228776404942,1.0147504969139032,,,1.0984412595459776,0.6178707224334601,0.9093248691773184,0.9363957597173145,2.032658615410784,0.8130729374252691,68.91934302751334,79.29657794676807,80.7840782362529,81.05123674911661,84.99744854567103,86.47269828616979
31,31,1063.0,GREENE,ALABAMA,79.70882620564149,79.27548441449032,83.09142318567389,84.6629213483146,82.23360655737704,81.34031413612566,0.5459508644222021,,,0.40946314831665154,0.5475989890480202,0.3958529688972668,0.2808988764044944,0.5942622950819672,0.3350785340314136,19.335759781619654,20.17691659646167,16.51272384542884,15.056179775280897,17.172131147540984,18.32460732984293
32,32,1065.0,HALE,ALABAMA,60.173328159358434,58.28823159219635,60.65254443632821,62.60557676732616,59.39054726368159,59.0253164556962,0.5562023024188333,,,0.6726167378088216,0.41535556954059155,0.38957876795714635,0.2545412472521115,1.144278606965174,0.569620253164557,38.59785280041392,41.29641283826306,38.95787679571463,37.13988198542173,39.46517412935324,40.40506329113924
33,33,1067.0,HENRY,ALABAMA,40.132717830351986,33.31069148213558,34.89824236817761,35.194063926940636,28.39444995044599,28.02753280275328,0.6924408540103866,,,0.6924408540103866,0.380383100122266,0.5203515263644773,0.5593607305936072,1.8334985133795838,0.9141750914175092,58.482400461627236,66.30892541774216,64.5814061054579,64.24657534246575,69.77205153617443,71.05829210582921
34,34,1069.0,HOUSTON,ALABAMA,29.360202139938234,25.258970746664456,29.2919611836588,29.502838875900565,25.009967400736414,27.975223615532883,0.801696977259257,,,0.742427550924915,0.5055108974890197,0.6133940337845932,0.6703564101340713,2.924552639602242,1.3817599029735994,69.09567333187759,74.23551835584652,70.0946447825566,69.82680471396536,72.06547995966133,70.64301648149352
35,35,1071.0,JACKSON,ALABAMA,50.6310733832235,42.49298754982531,30.535594519497938,28.293726004762597,17.503812428516966,15.726011169402607,1.0275885178152575,,,1.0108343571987044,0.7479946853009203,1.9977004886461627,1.5356951936628274,3.045177277926039,1.0534777458114741,47.330503741762534,56.759017764873775,67.46670499185589,70.17057880157458,79.451010293557,83.22051108478593
36,36,1073.0,JEFFERSON,ALABAMA,47.44578339658756,45.15389105257589,52.153369918750236,52.60497897459183,51.57055928676391,55.758513171785616,1.2393931977659507,,,0.726906119526744,0.6830120798588236,0.7792191483216335,0.7761962108200239,4.125697341472955,1.6317424075028848,50.58791728611974,54.16309686756529,47.067410932928134,46.618824814588145,44.30374337176314,42.6097444207115
37,37,1075.0,LAMAR,ALABAMA,36.59815146916816,28.40958605664488,22.812720848056536,22.96957856544795,14.872236577662933,13.596552203531212,0.7863153538419092,,,0.9518554283349427,0.5083514887436456,0.5936395759717314,0.8791515489813005,1.536032156187195,0.5699986097594885,61.66367774865499,71.08206245461147,76.59363957597172,76.15126988557076,83.59173126614988,85.8334491867093
38,38,1077.0,LAUDERDALE,ALABAMA,43.17453402620033,39.42113347885844,34.98057946672265,33.883111255551945,25.179000632511066,26.872505018155575,1.101534057317111,,,1.3380215950462084,0.856981162583879,1.8554482469032123,1.3595493445997184,4.235294117647059,1.5855116263334763,54.38591032143635,59.72188535855768,63.16397228637414,64.75733939984833,70.58570524984187,71.54198335551095
39,39,1079.0,LAWRENCE,ALABAMA,51.670086171522364,43.96114563245482,35.17711171662125,35.91978458049886,24.458830669633823,22.219449815981534,0.5170291341813705,,,1.2720558063192449,0.8285122491250624,1.6280653950953679,1.1975623582766441,2.488367388225774,0.9169733641070426,46.54082888797702,55.21034211842011,63.194822888283376,62.88265306122449,73.0528019421404,76.86357681991142
40,40,1081.0,LEE,ALABAMA,38.0880200710851,36.37525218560861,39.57294063506673,39.33295314483342,35.86693923062628,38.992848045459,2.3390131716495923,,,0.9460589588124608,0.9213180901143241,1.0989415554532904,1.4422634706304382,5.649507526482067,1.9146524094109083,58.626907798452855,62.70342972427707,59.328117809479984,59.22478338453614,58.48355324289165,59.092499545130096
