ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
24,65.71182474537943,71.10561925315355,19.878888888888888,36.102777777777774,22.639444444444443,6.867777777777778,14.507777777777779,21.576666666666668,7.758333333333334,10.625,17.407222222222224,21.830000000000002,20.809444444444445,82.80611111111111,99.64771918820148,65.00611111111111,16.142777777777777,8.76888888888889,10.082777777777778,20.370555555555555,21.936666666666667,31.206111111111113,20.592777777777776,7.219476570777778
25,51.64185165991627,49.23149569666221,8.360535117056857,25.313377926421403,21.75886287625418,9.116722408026757,35.446822742474914,22.50769230769231,10.968227424749164,13.18695652173913,18.90267558528428,19.891304347826086,14.536789297658864,83.95953177257526,15.869546047580693,41.20635451505017,18.472575250836123,13.383612040133778,26.942140468227425,11.748494983277592,12.142140468227424,26.17324414715719,13.15685618729097,5.203122874749164
26,55.51893108151997,56.02047630963371,8.112578616352202,28.526415094339622,21.331446540880503,9.505660377358492,32.51320754716981,22.354088050314466,9.738993710691824,11.535220125786163,19.070440251572325,21.58993710691824,15.69685534591195,89.72578616352202,45.923891560176834,37.94025157232704,18.680503144654086,14.350314465408804,29.028301886792452,13.514465408805032,9.771698113207547,27.41006289308176,12.11006289308176,4.959643826037736
27,55.02151170931065,57.54976892658964,10.778301886792454,31.550943396226415,23.418867924528303,9.358490566037736,24.88490566037736,20.475471698113207,8.797169811320755,11.674528301886792,17.222641509433963,21.293396226415094,20.51132075471698,86.61320754716981,15.368918974790796,52.033018867924525,19.017924528301887,11.680188679245282,17.27358490566038,11.260377358490565,15.21320754716981,28.45566037735849,15.530188679245283,6.291650204433962
28,58.03864511807908,58.677483288735125,11.483333333333333,28.029999999999998,23.206666666666667,7.94,29.353333333333335,20.996666666666666,21.506666666666668,13.916666666666666,15.686666666666667,15.85,12.023333333333333,75.52,40.69789379120553,56.02333333333333,17.716666666666665,11.266666666666667,15.020000000000001,12.120000000000001,22.126666666666665,30.43,18.66,6.172318788666667
29,41.62715946163396,37.48006029917502,11.641379310344828,23.231034482758623,20.517241379310345,7.617241379310345,36.9896551724138,20.048275862068966,21.020689655172415,15.517241379310345,16.537931034482757,15.937931034482759,10.927586206896551,67.51034482758621,9.402552876482277,54.92413793103448,16.582758620689653,10.362068965517242,18.13103448275862,9.082758620689654,23.92758620689655,27.841379310344827,18.93448275862069,5.889923358620689
30,27.240752554003144,26.69955620423137,17.022222222222222,29.77777777777778,22.355555555555554,7.044444444444444,23.816666666666666,24.12222222222222,10.455555555555556,14.955555555555556,18.35,19.061111111111114,13.044444444444444,33.52777777777778,5.909675604808812,58.47222222222222,16.66111111111111,10.066666666666666,14.777777777777779,9.716666666666667,24.183333333333334,33.98888888888889,22.77777777777778,8.287211801666666
31,70.63638607861049,72.95542216048456,27.942857142857143,34.17857142857143,20.25,5.6000000000000005,12.035714285714286,27.57857142857143,8.935714285714287,12.135714285714286,17.70714285714286,18.87857142857143,14.799999999999999,76.94285714285715,100.0,62.614285714285714,17.064285714285713,9.221428571428572,11.042857142857143,39.5,21.0,32.95,23.557142857142857,4.937604872142857
32,61.37003251533512,66.95305444774826,13.409532062391682,36.76187175043327,22.260831889081455,9.029116117850954,18.54315424610052,22.621317157712305,8.96100519930676,11.702253032928942,17.999653379549393,20.99670710571924,17.71750433275563,90.2530329289428,42.98896703085263,54.08890814558059,19.297227036395146,11.802426343154247,14.812478336221837,20.296360485268632,16.04679376083189,31.811265164644713,16.682842287694974,6.148949509116118
33,74.28632787679634,75.83050380952032,24.354545454545452,32.6,21.554545454545455,7.045454545454546,14.45909090909091,27.63181818181818,8.322727272727272,12.72272727272727,17.80909090909091,19.15909090909091,14.345454545454546,85.39090909090909,100.0,47.45,20.849999999999998,12.877272727272727,18.831818181818182,38.54090909090909,13.44090909090909,31.19545454545454,17.25,3.8547379749999995
34,66.46724242089823,72.81106351209864,11.332680722891565,37.913403614457835,22.66370481927711,9.627710843373494,18.466265060240964,22.25828313253012,7.279216867469879,10.287650602409638,17.04066265060241,22.845331325301203,20.28825301204819,94.9546686746988,97.26923376423561,50.78057228915663,20.235391566265058,12.768373493975904,16.218825301204816,24.987198795180724,12.55,30.922891566265058,13.907831325301204,4.957648442801205
35,60.07573347845755,65.60804567028555,11.052244165170558,36.55134649910233,21.85798922800718,9.6967684021544,20.847396768402156,22.386714542190305,8.640394973070018,11.209874326750448,18.27145421903052,21.805745062836625,17.681508078994614,93.17199281867146,61.912372784270175,48.3165170556553,20.077199281867145,13.3,18.30843806104129,19.512028725314185,12.892280071813286,30.79479353680431,14.118491921005386,5.674035078258528
36,68.68865301225316,75.51190896600113,21.75733333333333,39.464000000000006,19.104,6.806666666666667,12.876000000000001,22.594666666666665,8.498666666666667,11.54,18.792,20.878666666666668,17.709333333333333,92.28,63.767870224017074,65.46266666666666,16.398666666666667,8.538666666666666,9.6,21.285333333333334,23.508,34.376,22.916,8.407861314933335
37,68.5225623696856,76.84545062015708,21.504736842105263,40.353157894736846,19.38421052631579,6.595789473684211,12.16,21.268947368421053,7.776315789473684,10.867368421052632,18.694736842105264,22.067894736842103,19.330526315789474,94.47052631578948,98.6241284803706,65.58052631578947,16.431052631578947,8.730526315789474,9.262631578947369,19.309473684210527,22.972631578947368,33.71473684210527,21.99578947368421,8.169600801894736
38,43.416019452947815,42.06250489707481,9.68888888888889,28.322222222222223,23.177777777777777,8.822222222222223,30.011111111111113,25.48888888888889,8.655555555555557,12.81111111111111,21.311111111111114,19.755555555555556,11.933333333333334,55.65555555555555,23.947974682034445,31.17777777777778,17.711111111111112,14.988888888888889,36.13333333333333,6.877777777777777,9.088888888888889,29.011111111111113,13.68888888888889,5.383683036666667
39,30.1833031534481,27.59138409443325,14.080000000000002,25.3,19.490000000000002,7.390000000000001,33.730000000000004,24.31,9.33,15.190000000000001,21.830000000000002,18.369999999999997,10.98,38.39,2.236622117340146,36.46,18.880000000000003,13.5,31.189999999999998,5.83,12.45,26.669999999999998,15.830000000000002,6.026485407
