GEO_ID,lessthan50K,50to75k,75to100k,morethan100k
53015,50.9,19.6,11.7,17.9
53017,46.0,22.4,14.0,17.7
53019,61.0,15.1,11.2,12.6
53021,41.9,22.7,16.1,19.3
53023,47.5,23.6,17.0,11.9
53025,49.8,22.0,13.4,14.8
53027,55.4,19.5,9.6,15.5
53029,41.4,19.8,14.7,24.1
53031,48.8,19.4,12.3,19.5
53033,32.1,15.8,12.6,39.5
53035,37.3,19.6,15.0,28.0
53037,51.7,18.9,12.3,17.3
53039,50.4,22.7,13.1,13.9
53041,54.7,19.8,11.2,14.5
53043,52.5,19.5,11.3,16.6
53045,48.5,20.5,13.0,17.9
53047,59.5,17.0,10.1,13.5
53049,62.2,16.4,10.8,10.6
53051,55.1,19.5,12.2,13.1
53053,39.6,20.5,14.6,25.3
53055,44.1,17.2,13.4,25.1
53057,44.1,19.6,13.7,22.5
53059,48.2,17.8,12.3,21.7
53061,32.7,18.2,15.5,33.6
53063,49.5,19.1,12.6,18.9
53065,55.3,20.1,11.8,12.8
53067,38.1,21.1,15.3,25.5
53069,52.8,20.7,8.0,18.4
53071,51.0,19.7,11.9,17.3
53073,45.9,19.7,13.3,21.2
53075,59.8,13.4,10.5,16.4
53077,54.5,19.8,11.0,14.7
54001,66.0,16.0,8.8,9.2
54003,43.0,20.1,15.8,21.1
54005,60.9,17.6,10.2,11.2
54007,60.3,18.8,10.2,10.8
54009,53.3,18.6,15.1,12.8
54011,60.8,15.6,10.4,13.2
54013,61.1,16.5,13.6,8.7
54015,68.0,16.1,9.1,6.7
54017,60.8,20.8,6.1,12.2
54019,63.7,17.2,8.2,10.8
54021,63.6,17.2,7.9,11.4
54023,62.7,17.9,9.6,9.8
54025,61.5,17.6,9.4,11.5
54027,68.0,15.4,8.7,7.9
54029,59.6,18.5,8.8,13.1
54031,61.3,17.7,11.5,9.5
54033,54.9,17.6,10.0,17.7
54035,58.2,16.9,11.1,13.8
54037,34.7,18.1,13.4,33.9
54039,53.3,19.5,11.2,16.1
54041,61.8,17.2,9.7,11.4
54043,62.6,16.5,9.6,11.3
54045,59.4,16.5,12.1,12.1
54047,78.7,10.0,6.2,5.1
54049,53.4,17.5,13.2,15.8
54051,55.4,19.2,11.9,13.4
54053,62.6,17.0,9.4,11.0
54055,62.4,17.5,9.2,11.0
54057,62.0,18.3,11.2,8.4
54059,67.1,12.5,10.0,10.5
54061,52.1,16.9,9.8,21.1
54063,65.8,15.6,10.0,8.7
54065,57.6,16.4,11.8,14.4
54067,60.4,16.3,10.3,13.0
54069,56.6,16.3,9.5,17.8
54071,65.0,13.4,8.8,12.8
54073,54.0,17.6,10.5,18.0
54075,63.6,18.2,6.9,11.2
54077,54.3,19.9,12.3,13.4
54079,45.3,18.2,13.9,22.6
54081,57.6,17.8,10.8,13.7
54083,60.5,18.5,9.1,11.8
54085,61.2,21.5,7.8,9.4
54087,66.3,16.4,6.8,10.5
54089,67.1,15.7,9.0,8.2
54091,56.8,18.6,12.4,12.3
54093,55.9,21.3,11.3,11.5
54095,61.3,15.7,11.2,11.8
54097,57.9,19.8,9.2,13.2
54099,61.7,19.3,9.4,9.5
54101,69.3,16.3,8.5,6.2
54103,62.2,16.7,10.7,10.3
54105,61.2,24.7,6.2,7.8
54107,55.3,19.0,11.2,14.3
54109,64.5,13.9,10.6,11.0
55001,57.0,21.5,10.7,10.8
55003,61.6,17.7,9.9,10.8
55005,53.4,19.8,13.2,13.6
55007,51.9,20.9,13.0,14.2
55009,45.7,19.0,14.4,20.9
55011,47.2,23.0,12.7,17.1
55013,58.4,19.2,11.6,11.0
55015,34.1,20.4,18.2,27.3
55017,47.5,20.1,14.4,18.0
55019,53.2,21.4,13.1,12.3
55021,40.2,21.8,16.1,21.8
55023,54.5,21.8,12.2,11.4
55025,38.5,18.3,13.9,29.2
55027,45.9,22.0,15.3,16.8
55029,45.0,22.7,14.0,18.3
55031,51.8,19.1,12.8,16.4
55033,48.4,19.9,13.2,18.6
55035,49.6,19.7,12.3,18.5
55037,53.3,23.2,8.6,14.8
55039,43.8,21.6,14.9,19.5
55041,58.4,21.5,10.5,9.6
55043,51.0,21.7,13.0,14.4
55045,43.1,19.5,16.6,20.9
55047,52.5,18.8,14.5,14.2
55049,43.5,20.2,15.0,21.2
55051,59.6,19.7,11.1,9.4
55053,50.3,22.8,13.9,12.9
55055,43.0,20.5,15.6,20.8
55057,53.2,20.6,13.4,12.8
55059,44.6,19.1,13.8,22.6
55061,43.1,21.2,17.2,18.4
55063,48.6,18.3,13.6,19.5
55065,47.2,22.7,14.0,16.1
55067,56.4,20.0,12.5,11.1
55069,48.0,21.0,15.1,16.0
55071,50.5,20.3,13.3,16.1
55073,46.0,20.1,14.3,19.6
55075,55.7,20.7,11.4,12.3
55077,51.6,22.0,13.2,13.1
55078,66.8,12.2,9.2,11.8
55079,54.0,17.9,11.3,16.9
55081,46.5,22.5,14.3,16.6
55083,46.4,20.0,14.3,19.3
55085,50.2,20.3,13.7,15.8
55087,40.8,20.5,16.2,22.4
55089,31.3,16.2,15.1,37.5
55091,48.6,18.4,16.0,17.0
55093,38.8,18.7,15.1,27.2
55095,47.9,21.0,13.9,17.2
55097,47.0,20.8,13.2,18.8
55099,57.0,20.3,11.2,11.6
55101,43.4,20.3,13.8,22.5
55103,53.0,22.1,11.9,13.0
55105,49.0,20.0,13.6,17.3
55107,61.1,19.8,9.1,10.1
55109,31.2,19.7,16.0,33.2
55111,46.5,22.1,14.7,16.7
55113,58.6,19.0,10.7,11.7
55115,51.2,22.1,13.1,13.6
55117,45.5,22.0,13.4,19.0
55119,53.1,22.6,12.4,11.9
55121,47.8,20.7,14.5,17.1
55123,50.5,21.5,12.9,15.1
55125,59.2,18.5,8.8,13.5
55127,45.4,19.2,13.5,22.0
55129,54.5,20.0,12.0,13.4
55131,33.3,20.1,17.1,29.6
55133,30.6,17.2,14.9,37.1
55135,47.2,21.6,13.9,17.2
55137,53.5,20.7,11.7,14.1
55139,46.0,21.6,13.4,19.0
55141,50.1,20.5,13.0,16.5
56001,56.7,16.8,10.1,16.4
56003,48.4,24.0,11.7,16.0
56005,29.0,17.1,17.5,36.5
56007,44.1,18.6,13.0,24.4
56009,39.2,17.4,14.3,28.9
56011,39.5,21.6,15.4,23.4
56013,47.1,19.1,12.6,21.2
56015,55.6,15.3,10.5,18.5
56017,53.6,14.1,11.3,20.8
56019,46.0,18.0,16.9,19.1
56021,40.2,19.6,14.8,25.5
56023,37.3,19.4,17.2,26.0
56025,43.8,19.5,13.6,23.2
56027,56.1,19.0,10.6,14.4
56029,40.6,21.2,18.2,20.0
56031,56.5,13.7,9.9,19.9
56033,46.6,19.1,13.2,21.0
56035,32.3,17.0,15.9,34.8
56037,36.3,18.6,15.1,30.0
56039,29.4,20.3,14.3,36.0
56041,47.7,16.4,13.3,22.5
56043,53.4,20.4,11.9,14.3
56045,46.7,15.3,16.5,21.4
