GEO_ID,manu_arg
0500000US08017,30.1
0500000US08019,9.7
0500000US08021,16.6
0500000US08023,21.3
0500000US08025,9.4
0500000US08027,10.6
0500000US08029,20.1
0500000US08031,6.6
0500000US08033,15.2
0500000US08035,8.1
0500000US08037,4.4
0500000US08039,9.3
0500000US08041,7.2
0500000US08043,7.0
0500000US08045,7.6
0500000US08047,10.0
0500000US08049,6.5
0500000US08051,3.5
0500000US08053,7.0
0500000US08055,14.7
0500000US08057,29.9
0500000US08059,9.1
0500000US08061,20.3
0500000US08063,23.4
0500000US08065,7.0
0500000US08067,7.8
0500000US08069,11.8
0500000US08071,11.8
0500000US08073,16.4
0500000US08075,17.8
0500000US08077,11.6
0500000US08079,8.9
0500000US08081,13.0
0500000US08083,10.6
0500000US08085,14.3
0500000US08087,28.4
0500000US08089,14.0
0500000US08091,8.6
0500000US08093,10.8
0500000US08095,24.5
0500000US08097,3.7
0500000US08099,16.7
0500000US08101,8.5
0500000US08103,27.0
0500000US08105,18.1
0500000US08107,9.7
0500000US08109,29.2
0500000US08111,11.2
0500000US08113,4.8
0500000US08115,23.7
0500000US08117,5.6
0500000US08119,8.8
0500000US08121,23.9
0500000US08123,16.4
0500000US08125,26.5
0500000US09001,8.6
0500000US09003,11.0
0500000US09005,13.9
0500000US09007,12.6
0500000US09009,11.5
0500000US09011,13.6
0500000US09013,12.0
0500000US09015,13.8
0500000US10001,9.7
0500000US10003,8.7
0500000US10005,11.8
0500000US11001,1.4
0500000US12001,4.6
0500000US12003,6.8
0500000US12005,6.9
0500000US12007,6.8
0500000US12009,10.4
0500000US12011,5.0
0500000US12013,14.6
0500000US12015,4.6
0500000US12017,5.5
0500000US12019,5.3
0500000US12021,6.8
0500000US12023,7.1
0500000US12027,28.1
0500000US12029,15.1
0500000US12031,5.9
0500000US12033,5.8
0500000US12035,6.4
0500000US12037,10.8
0500000US12039,6.7
0500000US12041,10.4
0500000US12043,24.2
0500000US12045,8.1
0500000US12047,17.6
0500000US12049,25.5
0500000US12051,33.4
0500000US12053,5.9
0500000US12055,11.2
0500000US12057,6.3
0500000US12059,12.0
0500000US12061,8.1
0500000US12063,8.1
0500000US12065,9.5
0500000US12067,18.4
0500000US12069,6.7
0500000US12071,4.2
0500000US12073,2.2
0500000US12075,10.9
0500000US12077,11.0
0500000US12079,13.7
0500000US12081,8.8
0500000US12083,9.6
0500000US12085,7.2
0500000US12086,5.5
0500000US12087,4.3
0500000US12089,8.7
0500000US12091,5.6
0500000US12093,15.1
0500000US12095,4.9
0500000US12097,3.8
0500000US12099,5.4
0500000US12101,5.8
0500000US12103,7.2
0500000US12105,8.6
0500000US12107,13.7
0500000US12109,6.8
0500000US12111,5.9
0500000US12113,7.2
0500000US12115,6.3
0500000US12117,5.7
0500000US12119,6.3
0500000US12121,12.6
0500000US12123,17.7
0500000US12125,10.5
0500000US12127,7.1
0500000US12129,6.0
0500000US12131,5.7
0500000US12133,7.0
0500000US13001,24.0
0500000US13003,39.2
0500000US13005,24.0
0500000US13007,29.6
0500000US13009,11.1
0500000US13011,26.9
0500000US13013,12.8
0500000US13015,18.3
0500000US13017,22.7
0500000US13019,20.6
0500000US13021,7.9
0500000US13023,15.8
0500000US13025,11.2
0500000US13027,14.7
0500000US13029,13.7
0500000US13031,11.9
0500000US13033,22.7
0500000US13035,13.5
0500000US13037,21.4
0500000US13039,9.8
0500000US13043,14.3
0500000US13045,17.4
0500000US13047,16.9
0500000US13049,13.0
0500000US13051,8.9
0500000US13053,11.3
0500000US13055,34.0
0500000US13057,11.1
0500000US13059,8.8
0500000US13061,26.3
0500000US13063,7.3
0500000US13065,30.1
0500000US13067,7.8
0500000US13069,22.7
0500000US13071,29.3
0500000US13073,10.1
0500000US13075,16.1
0500000US13077,13.5
0500000US13079,13.5
0500000US13081,13.2
0500000US13083,16.7
0500000US13085,15.1
0500000US13087,22.3
0500000US13089,6.1
0500000US13091,18.6
0500000US13093,25.7
0500000US13095,12.6
0500000US13097,8.7
0500000US13099,28.5
0500000US13101,35.1
0500000US13103,18.3
0500000US13105,31.7
0500000US13107,21.7
0500000US13109,19.5
0500000US13111,12.6
0500000US13113,9.6
0500000US13115,18.2
0500000US13117,10.0
0500000US13119,22.5
0500000US13121,6.6
0500000US13123,17.8
0500000US13125,21.4
0500000US13127,7.3
0500000US13129,34.7
0500000US13131,19.9
0500000US13133,16.3
0500000US13135,8.9
0500000US13137,25.0
0500000US13139,22.4
0500000US13141,10.9
0500000US13143,16.9
0500000US13145,13.6
0500000US13147,29.3
0500000US13149,21.3
0500000US13151,7.1
0500000US13153,10.3
0500000US13155,23.8
0500000US13157,16.4
0500000US13159,22.9
0500000US13161,20.7
0500000US13163,24.1
0500000US13165,16.4
0500000US13167,18.2
0500000US13169,9.2
0500000US13171,15.3
0500000US13173,11.5
0500000US13175,13.8
0500000US13177,13.3
0500000US13179,6.9
0500000US13181,16.6
0500000US13183,15.4
0500000US13185,8.4
0500000US13187,15.0
0500000US13189,19.0
0500000US13191,14.1
0500000US13193,31.1
0500000US13195,21.9
0500000US13197,15.4
0500000US13199,23.8
0500000US13201,19.2
0500000US13205,21.6
0500000US13207,8.8
0500000US13209,15.5
0500000US13211,17.5
0500000US13213,39.5
0500000US13215,9.7
0500000US13217,14.8
0500000US13219,10.5
0500000US13221,21.0
0500000US13223,9.9
0500000US13225,11.9
0500000US13227,12.1
0500000US13229,16.3
0500000US13231,15.0
0500000US13233,25.3
0500000US13235,17.9
0500000US13237,15.0
0500000US13239,20.0
0500000US13241,8.8
0500000US13243,22.8
0500000US13245,9.3
0500000US13247,11.7
0500000US13249,23.6
0500000US13251,23.0
0500000US13253,21.2
0500000US13255,15.9
0500000US13257,23.7
0500000US13259,22.7
0500000US13261,20.1
0500000US13263,22.0
0500000US13265,30.9
0500000US13267,16.6
0500000US13269,16.3
0500000US13271,24.7
0500000US13273,21.4
0500000US13275,15.1
0500000US13277,13.0
0500000US13279,18.7
0500000US13281,6.6
0500000US13283,14.1
0500000US13285,27.4
0500000US13287,18.5
0500000US13289,19.1
0500000US13291,12.1
0500000US13293,20.2
0500000US13295,20.2
0500000US13297,13.2
0500000US13299,15.4
0500000US13301,36.2
0500000US13303,17.3
0500000US13305,16.1
0500000US13307,28.6
0500000US13309,25.0
0500000US13311,16.1
0500000US13313,39.9
0500000US13315,16.8
0500000US13317,27.6
0500000US13319,21.8
0500000US13321,18.6
0500000US15001,6.8
0500000US15003,4.0
0500000US15005,2.8
0500000US15007,5.6
0500000US15009,4.6
0500000US16001,10.5
0500000US16003,20.2
0500000US16005,10.3
0500000US16007,25.1
0500000US16009,26.1
0500000US16011,20.7
0500000US16013,6.2
0500000US16015,19.0
0500000US16017,18.1
0500000US16019,12.6
0500000US16021,28.0
0500000US16023,15.5
0500000US16025,21.0
0500000US16027,15.6
0500000US16029,30.9
0500000US16031,35.5
0500000US16033,59.8
0500000US16035,27.5
0500000US16037,22.6
0500000US16039,16.8
0500000US16041,31.3
0500000US16043,20.3
0500000US16045,14.2
0500000US16047,36.6
0500000US16049,23.3
0500000US16051,21.3
0500000US16053,37.2
0500000US16055,10.4
0500000US16057,11.8
0500000US16059,21.3
0500000US16061,21.7
0500000US16063,30.7
0500000US16065,10.0
0500000US16067,35.8
0500000US16069,19.8
0500000US16071,30.8
0500000US16073,42.1
0500000US16075,21.6
0500000US16077,34.6
0500000US16079,19.1
0500000US16081,8.3
0500000US16083,18.0
0500000US16085,5.9
0500000US16087,23.3
0500000US17001,17.8
0500000US17003,14.6
0500000US17005,19.7
0500000US17007,24.6
0500000US17009,12.3
0500000US17011,22.4
0500000US17013,17.8
0500000US17015,30.0
0500000US17017,28.1
0500000US17019,8.8
0500000US17021,16.5
0500000US17023,29.4
0500000US17025,31.7
0500000US17027,15.3
0500000US17029,16.4
0500000US17031,10.3
0500000US17033,27.3
0500000US17035,26.0
0500000US17037,14.4
0500000US17039,17.2
0500000US17041,27.6
0500000US17043,12.6
0500000US17045,29.8
0500000US17047,29.7
0500000US17049,19.4
0500000US17051,21.5
0500000US17053,22.2
0500000US17055,20.2
0500000US17057,18.1
0500000US17059,25.0
0500000US17061,21.3
0500000US17063,12.8
0500000US17065,28.3
0500000US17067,22.6
0500000US17069,17.7
0500000US17071,23.2
0500000US17073,21.9
0500000US17075,21.7
0500000US17077,9.9
0500000US17079,22.3
0500000US17081,17.7
0500000US17083,16.6
0500000US17085,19.7
0500000US17087,9.1
0500000US17089,17.7
0500000US17091,16.4
0500000US17093,14.4
0500000US17095,13.8
0500000US17097,16.6
0500000US17099,18.1
0500000US17101,20.0
0500000US17103,20.8
0500000US17105,25.1
0500000US17107,17.4
0500000US17109,12.8
0500000US17111,16.8
0500000US17113,7.7
0500000US17115,19.4
0500000US17117,16.2
0500000US17119,13.9
0500000US17121,21.8
0500000US17123,27.3
0500000US17125,18.4
0500000US17127,11.5
0500000US17129,9.0
0500000US17131,22.3
0500000US17133,12.3
0500000US17135,14.3
0500000US17137,14.2
0500000US17139,29.1
0500000US17141,21.4
0500000US17143,16.4
0500000US17145,22.5
0500000US17147,19.0
0500000US17149,18.6
0500000US17151,13.3
0500000US17153,12.9
0500000US17155,20.9
0500000US17157,24.1
0500000US17159,22.8
0500000US17161,19.6
0500000US17163,9.4
0500000US17165,17.2
0500000US17167,6.5
0500000US17169,20.9
0500000US17171,15.6
0500000US17173,22.8
0500000US17175,27.7
0500000US17177,24.8
0500000US17179,19.1
0500000US17181,14.4
0500000US17183,19.3
0500000US17185,28.5
0500000US17187,19.8
0500000US17189,24.5
0500000US17191,32.4
0500000US17193,26.7
0500000US17195,23.0
0500000US17197,11.8
0500000US17199,11.8
0500000US17201,23.1
0500000US17203,19.8
0500000US18001,33.4
0500000US18003,18.9
0500000US18005,34.8
0500000US18007,28.8
0500000US18009,32.6
0500000US18011,15.9
0500000US18013,19.2
0500000US18015,30.6
0500000US18017,31.3
0500000US18019,16.9
0500000US18021,23.7
0500000US18023,34.1
0500000US18025,26.5
0500000US18027,28.1
0500000US18029,18.2
0500000US18031,36.3
0500000US18033,35.9
0500000US18035,12.5
0500000US18037,38.4
0500000US18039,37.2
0500000US18041,23.8
0500000US18043,17.0
0500000US18045,35.2
0500000US18047,25.6
0500000US18049,37.6
0500000US18051,31.8
0500000US18053,17.9
0500000US18055,18.2
0500000US18057,12.5
0500000US18059,15.0
0500000US18061,19.7
0500000US18063,13.4
0500000US18065,23.6
0500000US18067,25.7
0500000US18069,29.4
0500000US18071,35.2
0500000US18073,23.2
0500000US18075,41.7
0500000US18077,32.0
0500000US18079,31.6
0500000US18081,16.3
0500000US18083,22.7
0500000US18085,42.2
0500000US18087,52.3
0500000US18089,15.6
0500000US18091,23.5
0500000US18093,19.0
0500000US18095,15.8
0500000US18097,10.8
0500000US18099,35.2
0500000US18101,19.8
0500000US18103,26.3
0500000US18105,10.0
0500000US18107,30.7
0500000US18109,16.2
0500000US18111,28.8
0500000US18113,40.9
0500000US18115,19.8
0500000US18117,25.8
0500000US18119,25.8
0500000US18121,26.6
0500000US18123,37.9
0500000US18125,28.9
0500000US18127,18.8
0500000US18129,24.6
0500000US18131,35.8
0500000US18133,19.6
0500000US18135,31.3
0500000US18137,25.6
0500000US18139,30.7
0500000US18141,17.7
0500000US18143,32.1
0500000US18145,28.1
0500000US18147,28.3
0500000US18149,31.1
0500000US18151,29.5
0500000US18153,25.9
0500000US18155,19.3
0500000US18157,17.8
0500000US18159,30.8
0500000US18161,16.4
0500000US18163,17.1
0500000US18165,25.7
