GEO_ID,median_income
0500000US01001,31259
0500000US01003,28534
0500000US01005,23174
0500000US01007,26704
0500000US01009,31793
0500000US01011,22364
0500000US01013,25929
0500000US01015,24415
0500000US01017,26846
0500000US01019,29048
0500000US01021,27846
0500000US01023,26169
0500000US01025,29283
0500000US01027,23774
0500000US01029,26697
0500000US01031,27494
0500000US01033,27570
0500000US01035,25132
0500000US01037,24243
0500000US01039,26588
0500000US01041,27101
0500000US01043,27389
0500000US01045,26522
0500000US01047,21752
0500000US01049,25032
0500000US01051,31534
0500000US01053,24883
0500000US01055,25491
0500000US01057,25383
0500000US01059,23384
0500000US01061,25272
0500000US01063,21485
0500000US01065,25325
0500000US01067,26822
0500000US01069,26701
0500000US01071,25466
0500000US01073,30807
0500000US01075,26561
0500000US01077,25900
0500000US01079,31294
0500000US01081,25533
0500000US01083,30816
0500000US01085,25498
0500000US01087,20922
0500000US01089,32452
0500000US01091,27024
0500000US01093,24598
0500000US01095,24558
0500000US01097,27933
0500000US01099,26550
0500000US01101,27882
0500000US01103,26702
0500000US01105,22647
0500000US01107,22962
0500000US01109,21867
0500000US01111,27374
0500000US01113,27297
0500000US01115,31903
0500000US01117,37971
0500000US01119,17607
0500000US01121,25380
0500000US01123,27113
0500000US01125,25575
0500000US01127,24639
0500000US01129,26449
0500000US01131,21696
0500000US01133,23050
0500000US02013,26826
0500000US02016,31948
0500000US02020,40129
0500000US02050,20292
0500000US02060,45242
0500000US02068,34250
0500000US02070,25694
0500000US02090,36608
0500000US02100,27100
0500000US02105,30129
0500000US02110,42408
0500000US02122,35186
0500000US02130,35075
0500000US02150,32376
0500000US02158,13125
0500000US02164,20762
0500000US02170,36673
0500000US02180,23529
0500000US02185,56913
0500000US02188,27014
0500000US02195,31444
0500000US02198,25172
0500000US02220,37044
0500000US02230,35117
0500000US02240,36085
0500000US02261,36250
0500000US02275,31676
0500000US02282,32353
0500000US02290,19798
0500000US04001,27274
0500000US04003,24149
0500000US04005,23255
0500000US04007,24190
0500000US04009,26934
0500000US04011,36779
0500000US04012,20453
0500000US04013,31884
0500000US04015,22929
0500000US04017,23300
0500000US04019,25992
0500000US04021,29550
0500000US04023,25036
0500000US04025,24158
0500000US04027,22349
0500000US05001,25692
0500000US05003,27131
0500000US05005,24020
0500000US05007,32491
0500000US05009,24271
0500000US05011,26715
0500000US05013,24592
0500000US05015,22099
0500000US05017,22315
0500000US05019,18996
0500000US05021,22680
0500000US05023,26832
0500000US05025,30052
0500000US05027,21942
0500000US05029,26928
0500000US05031,25679
0500000US05033,27151
0500000US05035,29563
0500000US05037,27295
0500000US05039,24669
0500000US05041,23482
0500000US05043,22211
0500000US05045,27125
0500000US05047,26524
0500000US05049,23243
0500000US05051,24124
0500000US05053,31154
0500000US05055,26821
0500000US05057,22142
0500000US05059,23983
0500000US05061,25116
0500000US05063,24995
0500000US05065,24283
0500000US05067,22786
0500000US05069,26423
0500000US05071,23363
0500000US05073,22542
0500000US05075,23272
0500000US05077,21586
0500000US05079,26728
0500000US05081,24688
0500000US05083,24498
0500000US05085,32838
0500000US05087,26766
0500000US05089,19994
0500000US05091,26451
0500000US05093,24159
0500000US05095,24876
0500000US05097,25511
0500000US05099,24037
0500000US05101,19297
0500000US05103,25615
0500000US05105,26467
0500000US05107,21851
0500000US05109,24555
0500000US05111,24864
0500000US05113,21700
0500000US05115,22066
0500000US05117,29029
0500000US05119,31064
0500000US05121,24544
0500000US05123,22341
0500000US05125,32525
0500000US05127,21453
0500000US05129,23220
0500000US05131,25223
0500000US05133,23876
0500000US05135,22316
0500000US05137,20146
0500000US05139,27270
0500000US05141,21128
0500000US05143,26860
0500000US05145,25846
0500000US05147,22000
0500000US05149,26321
0500000US06001,41381
0500000US06003,17313
0500000US06005,31529
0500000US06007,23491
0500000US06009,32999
0500000US06011,27129
0500000US06013,41590
0500000US06015,23054
0500000US06017,35809
0500000US06019,24353
0500000US06021,25832
0500000US06023,22316
0500000US06025,22692
0500000US06027,30529
0500000US06029,26053
0500000US06031,26505
0500000US06033,22369
0500000US06035,31858
0500000US06037,30176
0500000US06039,22269
0500000US06041,47563
0500000US06043,27016
0500000US06045,22328
0500000US06047,23588
0500000US06049,24101
0500000US06051,29633
0500000US06053,25386
0500000US06055,32726
0500000US06057,30983
0500000US06059,35323
0500000US06061,41309
0500000US06063,26619
0500000US06065,28905
0500000US06067,32102
0500000US06069,30604
0500000US06071,28124
0500000US06073,32656
0500000US06075,51229
0500000US06077,29056
0500000US06079,28995
0500000US06081,45591
0500000US06083,26405
0500000US06085,47594
0500000US06087,29284
0500000US06089,27534
0500000US06091,26830
0500000US06093,22014
0500000US06095,35192
0500000US06097,32221
0500000US06099,27882
0500000US06101,26563
0500000US06103,25642
0500000US06105,19879
0500000US06107,22753
0500000US06109,28145
0500000US06111,32290
0500000US06113,27775
0500000US06115,26847
0500000US08001,31925
0500000US08003,16331
0500000US08005,35599
0500000US08007,25657
0500000US08009,24672
0500000US08011,28198
0500000US08013,31950
0500000US08014,44516
0500000US08015,26943
0500000US08017,28219
0500000US08019,37009
0500000US08021,25432
0500000US08023,21353
0500000US08025,16932
0500000US08027,22656
0500000US08029,25030
0500000US08031,36026
0500000US08033,24853
0500000US08035,52132
0500000US08037,35518
0500000US08039,41765
0500000US08041,31247
0500000US08043,22716
0500000US08045,35089
0500000US08047,36486
0500000US08049,32160
0500000US08051,22058
0500000US08053,28906
0500000US08055,23610
0500000US08057,30463
0500000US08059,39037
0500000US08061,22179
0500000US08063,25568
0500000US08065,30969
0500000US08067,30425
0500000US08069,29303
0500000US08071,23499
0500000US08073,24732
0500000US08075,25731
0500000US08077,27108
0500000US08079,24784
0500000US08081,28071
0500000US08083,25382
0500000US08085,25731
0500000US08087,27270
0500000US08089,23865
0500000US08091,31275
0500000US08093,36325
0500000US08095,29583
0500000US08097,35125
0500000US08099,23843
0500000US08101,26862
0500000US08103,30973
0500000US08105,23223
0500000US08107,30977
0500000US08109,20924
0500000US08111,26480
0500000US08113,31226
0500000US08115,24071
0500000US08117,31723
0500000US08119,32238
0500000US08121,26656
0500000US08123,32186
0500000US08125,28818
0500000US09001,41231
0500000US09003,40176
0500000US09005,40162
0500000US09007,45191
0500000US09009,37216
0500000US09011,35187
0500000US09013,35975
0500000US09015,31701
0500000US10001,30855
0500000US10003,36970
0500000US10005,30170
0500000US11001,48059
0500000US12001,25218
0500000US12003,30657
0500000US12005,26589
0500000US12007,30543
0500000US12009,28757
0500000US12011,30667
0500000US12013,26241
0500000US12015,24719
0500000US12017,24271
0500000US12019,31377
0500000US12021,26818
0500000US12023,26454
0500000US12027,21441
0500000US12029,24721
0500000US12031,30548
0500000US12033,26295
0500000US12035,26040
0500000US12037,25599
0500000US12039,26516
0500000US12041,25014
0500000US12043,21497
0500000US12045,25220
0500000US12047,22479
0500000US12049,22905
0500000US12051,21796
0500000US12053,26688
0500000US12055,20887
0500000US12057,31179
0500000US12059,24651
0500000US12061,25047
0500000US12063,22368
0500000US12065,28973
0500000US12067,28476
0500000US12069,26578
0500000US12071,26465
0500000US12073,25979
0500000US12075,23223
0500000US12077,26987
0500000US12079,25000
0500000US12081,27970
0500000US12083,24706
0500000US12085,29539
0500000US12086,26357
0500000US12087,30388
0500000US12089,31359
0500000US12091,29942
0500000US12093,24035
0500000US12095,27807
0500000US12097,24916
0500000US12099,30352
0500000US12101,30536
0500000US12103,30876
0500000US12105,27090
0500000US12107,22273
0500000US12109,35788
0500000US12111,26220
0500000US12113,31333
0500000US12115,28393
0500000US12117,32243
0500000US12119,21393
0500000US12121,23786
0500000US12123,22749
0500000US12125,26065
0500000US12127,26239
0500000US12129,31878
0500000US12131,26578
0500000US12133,26464
0500000US13001,25767
0500000US13003,22971
