GEO_ID,Unemployment
0500000US01001,3.4
0500000US01003,3.7
0500000US01005,6.2
0500000US01007,3.5
0500000US01009,3.0
0500000US01011,7.5
0500000US01013,5.3
0500000US01015,6.7
0500000US01017,4.1
0500000US01019,3.0
0500000US01021,4.4
0500000US01023,6.2
0500000US01025,8.4
0500000US01027,3.5
0500000US01029,3.8
0500000US01031,3.5
0500000US01033,4.1
0500000US01035,9.6
0500000US01037,5.9
0500000US01039,5.7
0500000US01041,4.1
0500000US01043,3.2
0500000US01045,5.5
0500000US01047,7.8
0500000US01049,3.4
0500000US01051,4.2
0500000US01053,7.1
0500000US01055,4.6
0500000US01057,4.4
0500000US01059,5.4
0500000US01061,5.5
0500000US01063,7.7
0500000US01065,5.7
0500000US01067,4.1
0500000US01069,4.7
0500000US01071,4.6
0500000US01073,5.1
0500000US01075,4.7
0500000US01077,4.3
0500000US01079,4.3
0500000US01081,3.7
0500000US01083,4.6
0500000US01085,6.0
0500000US01087,8.1
0500000US01089,4.7
0500000US01091,6.8
0500000US01093,4.0
0500000US01095,4.0
0500000US01097,5.0
0500000US01099,10.4
0500000US01101,5.2
0500000US01103,5.2
0500000US01105,4.3
0500000US01107,5.9
0500000US01109,5.7
0500000US01111,4.0
0500000US01113,5.4
0500000US01115,3.8
0500000US01117,3.1
0500000US01119,7.2
0500000US01121,6.5
0500000US01123,5.0
0500000US01125,4.1
0500000US01127,5.6
0500000US01129,8.0
0500000US01131,8.4
0500000US01133,4.4
0500000US02013,2.3
0500000US02016,0.9
0500000US02020,4.2
0500000US02050,11.9
0500000US02060,4.2
0500000US02068,0.9
0500000US02070,6.9
0500000US02090,5.6
0500000US02100,2.5
0500000US02105,6.8
0500000US02110,3.6
0500000US02122,5.3
0500000US02130,5.1
0500000US02150,2.6
0500000US02158,15.2
0500000US02164,7.9
0500000US02170,6.2
0500000US02180,11.1
0500000US02185,8.0
0500000US02188,14.2
0500000US02195,4.0
0500000US02198,8.8
0500000US02220,3.1
0500000US02230,5.6
0500000US02240,5.9
0500000US02261,6.0
0500000US02275,4.3
0500000US02282,5.4
0500000US02290,11.2
0500000US04001,6.4
0500000US04003,3.9
0500000US04005,5.3
0500000US04007,5.7
0500000US04009,7.2
0500000US04011,5.0
0500000US04012,4.4
0500000US04013,4.3
0500000US04015,5.2
0500000US04017,9.0
0500000US04019,5.4
0500000US04021,4.7
0500000US04023,5.4
0500000US04025,4.2
0500000US04027,6.6
0500000US05001,5.5
0500000US05003,5.4
0500000US05005,2.9
0500000US05007,2.2
0500000US05009,4.7
0500000US05011,5.7
0500000US05013,3.8
0500000US05015,3.3
0500000US05017,5.0
0500000US05019,4.6
0500000US05021,3.8
0500000US05023,4.3
0500000US05025,4.7
0500000US05027,5.3
0500000US05029,3.9
0500000US05031,4.0
0500000US05033,4.0
0500000US05035,5.5
0500000US05037,4.2
0500000US05039,3.7
0500000US05041,6.8
0500000US05043,7.3
0500000US05045,3.7
0500000US05047,4.5
0500000US05049,3.4
0500000US05051,5.0
0500000US05053,4.6
0500000US05055,4.7
0500000US05057,4.6
0500000US05059,3.7
0500000US05061,4.2
0500000US05063,3.9
0500000US05065,4.3
0500000US05067,3.2
0500000US05069,5.1
0500000US05071,3.1
0500000US05073,5.4
0500000US05075,4.3
0500000US05077,6.7
0500000US05079,3.7
0500000US05081,4.5
0500000US05083,4.2
0500000US05085,3.5
0500000US05087,2.9
0500000US05089,4.4
0500000US05091,5.1
0500000US05093,6.3
0500000US05095,5.9
0500000US05097,2.1
0500000US05099,3.6
0500000US05101,2.5
0500000US05103,4.4
0500000US05105,3.8
0500000US05107,9.4
