,ONSConstID,Constituency,qunone,qu1,qu2,qu3,qu4,quother,White,nssec_student,nssec_higher_managerial,nssec_intermediate,nssec_lower_managerial,nssec_lower_supervisory,nssec_unemployed,nssec_routine,nssec_semi_routine,nssec_small_employers,age_under18,age_1824,age_2534,age_3549,age_5064,age_over65,Urban,dep_none,dep_one,dep_two_more,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave,Home owners,Private renters,Social renters
0,E14000530,Aldershot,17.846840773201002,11.9052618781843,14.3654468894021,17.3649716515069,29.787469192427103,8.73000961527834,78.45049157934466,4.9214752268432,12.860158486312,13.6050662570042,20.8806268719399,6.20793315723743,7.99283827543904,10.8652645306749,13.233717576065601,9.43291961848343,21.0121994342291,7.680339462517679,15.820367751060799,21.201379066477998,18.5068953323903,15.778818953323901,100.0,51.50444913310706,32.82267681864049,15.672874048252453,Hampshire,50.592106687449935,18.33257560996731,Con,55.0561797752809,31.617977528089884,Con,58.37436368188267,23.537511474589003,Con,57.9,62.27869002843771,20.518759746812183,15.324282175947099
1,E14000531,Aldridge-Brownhills,22.310632165904302,10.8326545955767,14.3459056450097,17.334440197982502,26.2922122674017,8.88415512812479,88.6622366455468,5.03860792206368,10.5470891349632,13.1298259902579,20.1199743135934,6.38871051106551,7.951822325246289,13.605964258305,13.266089244600298,9.951916299904449,20.1171849848689,6.590689588564801,11.270362500804799,17.3459532547807,21.471894919837702,23.2039147511428,98.03391749659023,45.428223102712586,34.58701615361171,19.98476074367571,West Midlands,52.049522748563184,22.368787502848317,Con,65.40822666832359,29.84963340375295,Con,70.78948706217274,20.370087946723604,Con,67.8,73.2032916793659,10.868637610484601,15.2362084730265
2,E14000532,Altrincham and Sale West,11.4933413891196,7.17846084132618,12.2322080406817,14.1190242428819,48.6556906578053,6.321274828185169,80.56141811083694,6.17053951310389,23.901714458346902,11.695324891115499,24.2189270159361,3.43646937388283,6.20200901286473,6.3291457918984895,7.97311245940434,10.072757483446999,23.947389209258198,5.69555257129315,9.72924401611501,21.6032072043605,19.7428706848882,19.2817363140848,98.55092262805064,58.87446949439442,29.296175453229644,11.829355052375927,Greater Manchester,52.99404160975513,26.686066076766235,Con,51.01913241144156,38.846372419018756,Con,48.04521300878331,36.835089385168814,Con,38.6,74.1800161911537,13.80909157814675,11.3755121065672
3,E14000533,Amber Valley,21.6873091844761,11.3816043835908,14.819950137987101,18.3862839468316,24.3243963896702,9.400455957443961,97.68391918073617,4.02890358361774,9.57497866894197,11.2907956484641,18.1154010238907,7.79783489761092,7.597856228668939,17.975415955631398,13.8158596416382,9.80295435153583,18.8902228145341,6.501602546451809,12.502065137180098,17.6599517583954,22.2120648067582,22.2340929366801,83.24097159468258,46.15841437161309,34.25630366466236,19.585281963724544,Derbyshire,43.97926373121596,34.78137235601636,Con,56.5475540808976,38.42963480386807,Con,63.85322711611473,26.795707419843307,Con,65.3,69.96090463700679,14.786955015588571,14.648389172069
4,E14000534,Arundel and South Downs,13.7966257316653,9.32744175370136,15.2094571330196,17.3453460346608,36.619993113738,7.701136233214729,96.46582802792045,4.81120165270285,17.4314243085045,12.019970159531699,24.398025938253102,4.65511304946631,5.0877998393205495,7.05727074486399,9.134626420291509,15.404567887065301,18.665995421602,5.5330224075534,8.24301604339029,16.3539994490724,22.8701425762512,28.3338241021305,23.364778643284918,55.44598734375349,32.83915833724648,11.714854319000022,West Sussex,60.787577243833766,11.197478619615065,Con,62.35561603823686,22.71972915560276,Con,57.91753517457009,15.831813444502346,Con,49.7,75.39799660137729,13.25686432340568,10.213755478043101
5,E14000535,Ashfield,24.4209590019077,12.1355757639595,15.8046885057874,17.618763386117,20.5517128377982,9.46830050442985,95.95184320330736,4.3092047515945895,7.47381356428111,11.2715782082041,16.3578910410205,8.01802328983556,8.99174907835449,19.6664521036924,14.9019837322254,9.00930423079173,20.2523803623678,6.80416694465359,12.3445258813774,17.8772600337396,21.4294564481848,21.2922103296766,100.0,41.92801886584533,34.9987878253587,23.07319330879598,Nottinghamshire,22.41768440591449,41.021746925689214,Lab,41.69383713719921,42.57596063448883,Lab,39.262964475296044,24.440587995100042,Con,70.5,67.2514104372355,16.69384696755985,15.380377291960501
6,E14000536,Ashford,17.765653721303103,11.431811959795,15.388752004380299,17.0450545582541,29.8848214634909,8.4839062927764,87.68348713921061,5.25343189017951,12.6843052133442,12.3440494348625,21.0430599554147,6.14806992842895,7.260745433923891,10.9683601235871,12.0213930931987,12.2765849270601,22.1208070191613,6.57739055609336,12.752193487914601,18.966947863366,20.1808571121252,19.4018039613392,65.77811647681693,49.814061252701464,33.75518389439458,16.430754852903952,Kent,52.45415882311929,18.44105138395036,Con,58.982280933215314,29.793416723726178,Con,62.055645282139224,22.04665412344528,Con,59.9,65.8768326161873,18.027296976304918,14.263740970775398
7,E14000537,Ashton-under-Lyne,23.7120935330654,11.6942429145571,14.7906988882509,16.7858447726916,23.101414478835,9.915705412599811,79.90372292207175,6.0899861680194105,7.7211159537542,13.4966202990839,16.2695409348331,6.22961087767831,11.4335673460865,16.4143852598063,13.142991361536598,9.202181799201389,22.8482165025242,7.2881320864023795,14.275221385417499,18.7732765041794,19.8946867499793,16.9204667714971,100.0,40.66413429726749,34.6501654209043,24.685700281828208,Greater Manchester,22.12343902564366,49.76103602446169,Lab,31.95635229929852,60.35501470847057,Lab,37.01754840716452,48.06760154488193,Lab,61.8,57.745374341379694,20.37495404974879,21.5022668790589
8,E14000538,Aylesbury,14.864728853818502,10.1433230001207,14.1209388461693,17.0357099722211,36.0491565682998,7.786142759370331,78.69271849317252,5.23492229648119,15.275988404863499,13.226709074804699,23.2758273613012,5.29531363233754,6.2484902166035905,9.80352685401401,10.428577180127201,11.210644979466899,23.1266515666289,6.85006920850635,13.881810746193498,21.630804077010097,18.896281615703998,15.6143827859569,77.46619013125951,55.46520499538208,31.379753443360237,13.155041561257681,Buckinghamshire,50.67395658528664,15.141016618849132,Con,54.969974312301176,30.037595903577564,Con,54.042855256207076,25.363180137348124,Con,51.8,66.3802276788403,17.32286626377815,14.437729636396398
9,E14000539,Banbury,16.1766443392196,10.6680965927164,14.2671477519563,16.3211516963709,34.3427641803524,8.224195439384161,88.225466056982,4.7478392060275,14.5970607748866,11.820520044715401,21.2325841369093,6.18836852102627,5.1940851957211205,13.503712657572,12.2803988039516,10.4354306591898,21.8237234652897,6.58132530120482,14.3273092369477,21.20553643144,19.541738382099798,16.5203671830177,67.84225611547348,54.11374732025437,32.319083391882394,13.56716928786323,Oxfordshire,53.008205764722106,21.297062474141498,Con,54.234755206133656,34.094084012865075,Con,54.27122900144625,27.55042036839847,Con,50.3,63.8761281954277,20.166099191122143,13.9725089625105
