,ONS ID,Constituency name,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave
0,W07000049,Aberavon,West Glamorgan,11.870697585889669,48.90397487548774,Lab,17.73776602140195,68.11951424792593,Lab,20.627887841002597,53.82619153110957,Lab,60.1
1,W07000058,Aberconwy,Clwyd,41.505240811994156,28.24067931537747,Con,44.59409020217729,42.61897356143079,Con,46.091322767927196,39.708143731366704,Con,52.2
2,S14000001,Aberdeen North,Scotland,12.0721048798252,25.940003641660596,SNP,22.692276301112713,30.01061022390293,SNP,20.14005826851629,13.20129366797637,SNP,43.1
3,S14000002,Aberdeen South,Scotland,22.83578093139173,26.757430330992154,SNP,42.13247027622323,20.54929988987032,Con,35.93058416232087,8.400893991848898,SNP,32.1
4,S14000003,Airdrie and Shotts,Scotland,7.65253127399178,34.114618615363774,SNP,23.19088469027946,37.09278459028472,SNP,17.627979483053405,32.00241375842301,SNP,39.8
5,E14000530,Aldershot,Hampshire,50.592106687449935,18.33257560996731,Con,55.0561797752809,31.617977528089884,Con,58.37436368188267,23.537511474589003,Con,57.9
6,E14000531,Aldridge-Brownhills,West Midlands,52.049522748563184,22.368787502848317,Con,65.40822666832359,29.84963340375295,Con,70.78948706217274,20.370087946723604,Con,67.8
7,E14000532,Altrincham and Sale West,Greater Manchester,52.99404160975513,26.686066076766235,Con,51.01913241144156,38.846372419018756,Con,48.04521300878331,36.835089385168814,Con,38.6
8,W07000043,Alyn and Deeside,Clwyd,31.9431669651934,40.03485501282858,Lab,40.39320822162645,52.08891867739053,Lab,41.987537202380956,42.482793898809526,Lab,58.1
9,E14000533,Amber Valley,Derbyshire,43.97926373121596,34.78137235601636,Con,56.5475540808976,38.42963480386807,Con,63.85322711611473,26.795707419843307,Con,65.3
10,S14000004,Angus,Scotland,28.9985388333146,8.80971113858604,SNP,45.15326433121019,13.02000398089172,Con,40.3544127866574,4.750984479962937,SNP,48.2
11,W07000057,Arfon,Gwynedd,13.119946342735775,30.264187502328877,PC,16.35706182643222,40.5097844583097,PC,15.230102497076425,35.609135309898875,PC,35.8
12,S14000005,Argyll and Bute,Scotland,14.904689397297766,10.39646897827805,SNP,33.23555721982983,12.57359212798269,SNP,35.234131113423516,6.759625390218522,SNP,39.4
13,E14000534,Arundel and South Downs,West Sussex,60.787577243833766,11.197478619615065,Con,62.35561603823686,22.71972915560276,Con,57.91753517457009,15.831813444502346,Con,49.7
14,E14000535,Ashfield,Nottinghamshire,22.41768440591449,41.021746925689214,Lab,41.69383713719921,42.57596063448883,Lab,39.262964475296044,24.440587995100042,Con,70.5
15,E14000536,Ashford,Kent,52.45415882311929,18.44105138395036,Con,58.982280933215314,29.793416723726178,Con,62.055645282139224,22.04665412344528,Con,59.9
16,E14000537,Ashton-Under-Lyne,Greater Manchester,22.12343902564366,49.76103602446169,Lab,31.95635229929852,60.35501470847057,Lab,37.01754840716452,48.06760154488193,Lab,61.8
17,E14000538,Aylesbury,Buckinghamshire,50.67395658528664,15.141016618849132,Con,54.969974312301176,30.037595903577564,Con,54.042855256207076,25.363180137348124,Con,51.8
18,S14000006,"Ayr, Carrick and Cumnock",Scotland,19.833745139726865,27.250090980482295,SNP,40.13240448271386,23.850114664012807,Con,38.51090315934066,13.347785027472527,SNP,44.1
19,E14000539,Banbury,Oxfordshire,53.008205764722106,21.297062474141498,Con,54.234755206133656,34.094084012865075,Con,54.27122900144625,27.55042036839847,Con,50.3
20,S14000007,Banff and Buchan,Scotland,28.815007999298693,5.8011352429376055,SNP,47.969646759359314,9.451768604567395,Con,50.12304779933744,4.103170847136772,Con,53.6
21,E14000540,Barking,London,16.307706605329802,57.679886619734674,Lab,22.464816795654272,67.78455923991694,Lab,26.499471898244902,61.167666689139075,Lab,60.0
22,E14000541,Barnsley Central,South Yorkshire,15.0027352297593,55.73304157549234,Lab,24.141018753038093,63.9138332437895,Lab,21.385795192802753,40.11597973064521,Lab,68.2
23,E14000542,Barnsley East,South Yorkshire,14.596152348313732,54.72648440948152,Lab,26.969295664116146,59.54483029232882,Lab,27.257683215130022,37.638560546361965,Lab,71.0
24,E14000543,Barrow and Furness,Cumbria,40.49682264586944,42.333911034084345,Lab,47.03299012397563,47.47215801639,Lab,51.8524953307562,39.28028493245885,Con,57.3
25,E14000544,Basildon and Billericay,Essex,52.681974528214184,23.67295714418518,Con,60.95774522463155,31.12560666102676,Con,67.05493110949963,20.798585931834662,Con,67.1
26,E14000545,Basingstoke,Hampshire,48.55113422262416,27.707438390232873,Con,52.73409578270193,35.81844174410293,Con,54.08769396669896,28.137736918099904,Con,53.6
27,E14000546,Bassetlaw,Nottinghamshire,30.680273489013775,48.621396254742436,Lab,43.282296650717704,52.56842105263158,Lab,55.22708050589091,27.66468008103696,Con,68.3
28,E14000547,Bath,Avon,37.80821336951682,13.178705450844872,Con,35.782425428070106,14.680434826452615,LD,30.87383482296981,12.733514902758063,LD,31.7
29,E14000548,Batley and Spen,West Yorkshire,31.238732938449655,43.23778204798035,Lab,38.83042023056898,55.49274823354406,Lab,36.02886995295407,42.688986717554364,Lab,59.6
30,E14000549,Battersea,London,52.37992592737748,36.824675197429016,Con,41.54891205637691,45.93701187838279,Lab,36.050486019640864,45.50077529719726,Lab,22.0
31,E14000550,Beaconsfield,Buckinghamshire,63.241352068167714,11.425239358200253,Con,65.2513029199686,21.4464196473192,Con,56.12255477984378,9.9467754199212,Con,49.0
